,director,actor,count,actor_id,director_id
26345,S.S. Rajamouli, Tamannaah Bhatia,7,15155,2708
26338,S.S. Rajamouli, Anushka Shetty,7,20261,2708
26340,S.S. Rajamouli, Ramya Krishnan,7,15961,2708
26341,S.S. Rajamouli, Rana Daggubati,7,20262,2708
26342,S.S. Rajamouli, Sathyaraj,7,7491,2708
26346,S.S. Rajamouli,Prabhas,7,20264,2708
26339,S.S. Rajamouli, Nassar,7,7230,2708
20663,Mike Clattenburg, John Dunsworth,5,4439,2189
9719,David Dhawan, Anupam Kher,5,5549,1034
19656,Martin Scorsese, Harvey Keitel,5,7300,2077
31580,Yılmaz Erdoğan,Yılmaz Erdoğan,5,3242,3242
20666,Mike Clattenburg, Lucy Decoutere,4,17147,2189
19715,Martin Scorsese,Robert De Niro,4,11455,2077
31151,William Lau, Kate Higgins,4,3477,3199
10381,Detlev Buck,Lina Larissa Strahl,4,10519,1093
2855, Robb Wells, John Paul Tremblay,4,180,323
12838,Hakan Algül, Salih Kalyon,4,12172,1350
31135,William Lau, America Young,4,3438,3199
25570,Robert Rodriguez, Alexa PenaVega,4,19870,2646
18232,Lilly Wachowski, Hugo Weaving,4,4662,1919
1636, John Paul Tremblay,Mike Smith,4,2202,180
28776,Steven Spielberg,Harrison Ford,4,14748,2945
1633, John Paul Tremblay, Robb Wells,4,323,180
22382,Omoni Oboli,Omoni Oboli,4,2348,2348
1631, John Paul Tremblay, Pat Roach,4,4444,180
26344,S.S. Rajamouli, Sudeep,4,20263,2708
25663,Robert Vince, David DeLuise,4,19554,2650
1626, John Paul Tremblay, John Paul Tremblay,4,180,180
23939,Priyadarshan, Rajpal Yadav,4,4624,2498
20656,Mike Clattenburg, Barrie Dunn,4,17141,2189
2042, Lana Wachowski, Hugo Weaving,4,4662,230
30168,Toshiya Shinohara, Houko Kuwashima,4,22155,3097
13725,Ishi Rudell, Rebecca Shoichet,4,4190,1444
13726,Ishi Rudell, Tabitha St. Germain,4,4191,1444
20670,Mike Clattenburg, Patrick Roach,4,17149,2189
30180,Toshiya Shinohara, Satsuki Yukino,4,17976,3097
9662,David Batty, Abdelilah Wahbi,4,9985,1026
9663,David Batty, Ait Youssef Youssef,4,9986,1026
10370,Detlev Buck, Louis Held,4,10509,1093
31218,Wilson Yip,Donnie Yen,4,4251,3203
13718,Ishi Rudell, Andrea Libman,4,4184,1444
18143,Leslie Small,Kevin Hart,4,5300,1906
10369,Detlev Buck, Lisa-Marie Koroll,4,10508,1093
2862, Robb Wells, Robb Wells,4,323,323
9665,David Batty, El Mahmoudi M'Barek,4,9987,1026
9671,David Batty,Selva Rasalingam,4,9993,1026
9668,David Batty, Mourad Zaoui,4,9990,1026
2865, Robb Wells,Mike Smith,4,2202,323
20519,Michael Simon,Jeff Dunham,4,4848,2170
30172,Toshiya Shinohara, Koji Tsujitani,4,22159,3097
